,Adj Close,Close,High,Low,Open,Volume,20-Day Returns,20-Day Volatility,Normalized 20-Day Returns,Normalized 20-Day Volatility
count,25452.0,25452.0,25452.0,25452.0,25452.0,25452.0,25452.0,25452.0,25452.0,25452.0
mean,267.2925043120505,268.1593236520233,271.1119420888307,265.07938153968934,268.16382009575017,12490069.924524596,4.1875455902881906e-19,-2.568361295376757e-17,-1.3958485300960636e-18,-8.375091180576381e-19
std,426.4373512384131,427.56224456555293,431.6572567598584,423.0569896857255,427.28550799358146,45372941.50977486,1.0000196454005226,1.0000196454005226,1.0000196454005226,1.0000196454005226
min,6.710000038146973,6.710000038146973,6.980000019073486,6.639999866485596,6.670000076293945,79400.0,-3.8529487558023607,-2.743643176423767,-3.8529487558023607,-2.743643176423767
25%,76.68219757080078,77.20749855041504,77.99749946594238,76.41000366210938,77.2189998626709,1442850.0,-0.6298973025985306,-0.6677082394999129,-0.6298973025985307,-0.6677082394999131
50%,156.35337829589844,157.20999908447266,159.24500274658203,155.37999725341797,157.30500030517578,3109600.0,0.0,-0.16530117933540295,0.0,-0.165301179335403
75%,270.7638168334961,271.6800079345703,274.61749267578125,268.65299224853516,271.64000701904297,7833000.0,0.6114571802355417,0.3736323469617491,0.6114571802355419,0.3736323469617489
max,4676.25,4676.25,4856.60009765625,4643.830078125,4734.0,1142269000.0,4.97746890204543,5.487661448237795,4.9774689020454295,5.487661448237795
