,Adj Close,Close,High,Low,Open,Volume,20-Day Returns,20-Day Volatility,Normalized 20-Day Returns,Normalized 20-Day Volatility
count,123685.0,123685.0,123685.0,123685.0,123685.0,123685.0,123685.0,123685.0,123685.0,123685.0
mean,208.4057625242052,211.2737243570728,214.10428506492119,208.34191429404427,211.25388709824043,14119885.542798238,-5.744776939484175e-19,-4.0213438576389225e-17,-1.2638509266865185e-18,3.217075086111138e-18
std,311.7407809384202,312.67664777682864,316.5029094953538,308.7306054986831,312.6402693870932,52907574.64131124,1.0000040425519015,1.0000040425519015,1.0000040425519015,1.0000040425519015
min,4.892764091491699,4.909999847412109,5.097249984741211,4.517000198364258,4.989999771118164,0.0,-6.183058531221855,-2.166807072323478,-6.183058531221855,-2.166807072323478
25%,61.67449951171875,64.33000183105469,65.17500305175781,63.40999984741211,64.31500244140625,1484500.0,-0.5962546228507056,-0.607486210094476,-0.5962546228507056,-0.607486210094476
50%,126.45734405517578,129.75999450683594,131.69000244140625,127.77999877929688,129.86000061035156,3207700.0,0.0,-0.206938383394093,-1.8403667577314733e-19,-0.2069383833940927
75%,233.27999877929688,236.7899932861328,239.91000366210932,233.4499969482422,236.67999267578125,7920700.0,0.5863932316782433,0.3196183751031087,0.5863932316782434,0.3196183751031093
max,4676.25,4676.25,4856.60009765625,4643.830078125,4734.0,1543911000.0,7.040633086474352,7.296478310835301,7.040633086474352,7.296478310835302
