Date,Adj Close,Close,High,Low,Open,Volume,20-Day Returns,20-Day Volatility,Normalized 20-Day Returns,Normalized 20-Day Volatility
2023-11-01 00:00:00+00:00,945.6599731445312,945.6599731445312,946.6300048828124,925.5,934.9199829101562,536100,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-02 00:00:00+00:00,948.0900268554688,948.0900268554688,957.8800048828124,937.2899780273438,937.2899780273438,492000,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-03 00:00:00+00:00,952.8400268554688,952.8400268554688,959.3499755859376,950.0,950.0,309500,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-06 00:00:00+00:00,956.0999755859376,956.0999755859376,960.0800170898438,951.9000244140624,956.1900024414062,255700,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-07 00:00:00+00:00,974.6099853515624,974.6099853515624,975.8200073242188,952.8900146484376,958.8200073242188,429400,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-08 00:00:00+00:00,973.7000122070312,973.7000122070312,980.6500244140624,968.8699951171876,975.0,251200,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-09 00:00:00+00:00,978.1400146484376,978.1400146484376,982.75,969.1900024414062,971.489990234375,370700,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-10 00:00:00+00:00,986.219970703125,986.219970703125,989.6900024414062,977.6699829101562,980.6599731445312,323600,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-13 00:00:00+00:00,995.9199829101562,995.9199829101562,999.1400146484376,985.530029296875,986.2899780273438,321200,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-14 00:00:00+00:00,982.9600219726562,982.9600219726562,1005.9600219726562,980.1799926757812,1001.0,506700,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-15 00:00:00+00:00,973.3400268554688,973.3400268554688,983.5900268554688,970.219970703125,981.4000244140624,661800,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
2023-11-16 00:00:00+00:00,971.989990234375,971.989990234375,980.219970703125,969.2000122070312,976.9000244140624,588400,-6.5206066915077e-17,0.0,-6.346962946298599e-19,-8.885748124818044e-18
