Price,Adj Close,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST,COST
Date,,,,,,
2023-11-01 00:00:00+00:00,540.2670288085938,556.7999877929688,558.4400024414062,549.6500244140625,555.0,1735300
2023-11-02 00:00:00+00:00,540.4517822265625,555.969970703125,559.510009765625,552.010009765625,556.5,2100600
2023-11-03 00:00:00+00:00,545.2442016601562,560.9000244140625,562.989990234375,555.22998046875,557.3300170898438,1826300
2023-11-06 00:00:00+00:00,553.9151611328125,569.8200073242188,572.6500244140625,560.1300048828125,560.489990234375,2056900
2023-11-07 00:00:00+00:00,555.3247680664062,571.27001953125,573.8900146484375,569.5599975585938,572.5,1373100
2023-11-08 00:00:00+00:00,551.5432739257812,567.3800048828125,572.989990234375,564.2899780273438,572.1199951171875,1343600
2023-11-09 00:00:00+00:00,547.5480346679688,563.27001953125,569.0,562.010009765625,569.0,1288400
2023-11-10 00:00:00+00:00,561.011474609375,577.1199951171875,577.8900146484375,564.9400024414062,567.9000244140625,1908800
2023-11-13 00:00:00+00:00,562.0905151367188,578.22998046875,579.9500122070312,573.489990234375,575.0,1650700
2023-11-14 00:00:00+00:00,574.3096313476562,590.7999877929688,591.5499877929688,581.2100219726562,581.739990234375,2037600
2023-11-15 00:00:00+00:00,580.1227416992188,596.780029296875,599.8900146484375,593.3900146484375,593.989990234375,2165100
2023-11-16 00:00:00+00:00,562.4307250976562,578.5800170898438,586.5900268554688,572.239990234375,586.3800048828125,2954700
2023-11-17 00:00:00+00:00,561.0406494140625,577.1500244140625,579.9199829101562,574.0599975585938,578.9000244140625,1773600
2023-11-20 00:00:00+00:00,564.5888061523438,580.7999877929688,582.3200073242188,577.3400268554688,577.3400268554688,1624100
2023-11-21 00:00:00+00:00,567.9910888671875,584.2999877929688,584.9500122070312,577.7100219726562,582.0,1173700
2023-11-22 00:00:00+00:00,572.6376342773438,589.0800170898438,591.1400146484375,586.3499755859375,586.8499755859375,1068600
2023-11-24 00:00:00+00:00,574.85400390625,591.3599853515625,594.2000122070312,590.4099731445312,591.02001953125,645800
2023-11-27 00:00:00+00:00,578.295166015625,594.9000244140625,599.9400024414062,592.4099731445312,592.52001953125,1627400
2023-11-28 00:00:00+00:00,577.42041015625,594.0,597.4199829101562,591.4199829101562,593.1900024414062,1286800
2023-11-29 00:00:00+00:00,571.45166015625,587.8599853515625,595.2100219726562,587.4199829101562,595.2000122070312,1319800
2023-11-30 00:00:00+00:00,576.1954345703125,592.739990234375,593.0700073242188,582.8300170898438,587.8300170898438,1755200
2023-12-01 00:00:00+00:00,579.6075439453125,596.25,596.3499755859375,590.5900268554688,593.280029296875,1474700
2023-12-04 00:00:00+00:00,582.3584594726562,599.0800170898438,599.530029296875,591.4600219726562,592.1500244140625,1624000
2023-12-05 00:00:00+00:00,588.4534301757812,605.3499755859375,608.8800048828125,597.030029296875,598.530029296875,2349700
2023-12-06 00:00:00+00:00,590.4754638671875,607.4299926757812,608.47998046875,603.8599853515625,605.5,2233900
2023-12-07 00:00:00+00:00,593.897216796875,610.9500122070312,612.3499755859375,606.3499755859375,610.0,1690400
2023-12-08 00:00:00+00:00,593.7319946289062,610.780029296875,613.6099853515625,607.72998046875,608.5999755859375,1502100
2023-12-11 00:00:00+00:00,606.4468994140625,623.8599853515625,625.030029296875,618.760009765625,621.969970703125,2139300
2023-12-12 00:00:00+00:00,611.929443359375,629.5,629.6900024414062,623.2100219726562,627.4400024414062,2374400
2023-12-13 00:00:00+00:00,624.0805053710938,642.0,642.5999755859375,631.0,633.9199829101562,2436900
2023-12-14 00:00:00+00:00,613.1737670898438,630.780029296875,641.9000244140625,630.2999877929688,641.1799926757812,3839200
2023-12-15 00:00:00+00:00,640.4310302734375,658.8200073242188,661.8800048828125,640.5,641.5,8805200
